Номер БС,Адрес,Операторы 800 МГц,Операторы 1800 МГц,Операторы 2600 МГц,Широта,Долгота
317636,"г.Жлобин, Красный проезд, 2",,"M, V, L",,52.87357296,30.02952205
323385,"г. Чечерск ул.Дзержинского, 9",,"M, V, L",,52.911858333333,30.90170278
400634,"г. Гродно, ул. Курчатова, р-н д.34, к.1",,"M, V, L","M, L",53.706061111111,23.85473056
400645,"г. Гродно, ул. Понемуньская, д. 20",,"M, V, L",,53.66128,23.87031
400736,"г. Слоним, ул. Брестская, 40",,"M, V, L","M, L",53.088333333333,25.30719444
400771,"г. Кореличи, ул. Артюха, 13",,"M, V, L",M,53.576194444444,26.14304444
400791,"г. Слоним, ул. Коссовский тракт, 100",,"M, V, L","M, L",53.070677777778,25.31149722
400800,"г. Гродно, ул. К.Маркса, 29",,"M, V, L","M, L",53.676472222222,23.83830833
400801,"г. Гродно, ул. Космонавтов, 100",,"M, V, L","M, L",53.676983333333,23.89436667
400802,"г. Гродно, ул.  Томина, 6А",,"M, V, L","M, L",53.648483333333,23.83343611
400803,"г. Гродно, ул. Горького, 89",,"M, V, L","M, L",53.704666666667,23.81911111
400804,"г. Гродно, ул. Калиновского, 1",,"M, V, L",M,53.690972222222,23.82438889
400806,"г. Гродно, ул. Суворова, 135",,"M, V, L",M,53.650988888889,23.78531389
400807,"г. Гродно, ул. Врублевского, 1",,"M, V, L",M,53.699055555556,23.80938889
400809,"г. Гродно, ул. Советская, 18",,"M, V, L",M,53.682336111111,23.83162778
400810,"г. Гродно, ул. Транспортная, 3",,"M, V, L",M,53.670419444444,23.82238333
400812,"г. Гродно, пр-т Я.Купалы, 63",,"M, V, L","M, L",53.654416666667,23.84663889
400814,"г. Гродно, ул. Ленинского комсомола, 50",,"M, V, L","M, L",53.695363888889,23.79606111
400815,"г. Гродно, ул. Мясницкая, 26 ",,"M, V, L","M, L",53.720430555556,23.82816389
400816,"г. Гродно, пр-т Космонавтов, 56",,"M, V, L",M,53.674580555556,23.86323889
400818,"г. Гродно, ул. Держинского, 113",,"M, V, L",M,53.70510201,23.84076314
400820,"г. Гродно, ул. Богуцкого, 10",,"M, V, L","M, L",53.709422050444,23.80522613
400821,"г. Гродно, пер. Победы, 12",,"M, V, L",M,53.658472222,23.818333333
400822,"г. Гродно, ул. Куйбышева, 31",,"M, V, L","M, L",53.686041666667,23.87085556
400825,"г. Гродно, ул. Малыщинская, 7",,"M, V, L",M,53.712558333333,23.85406944
400826,"г. Гродно, ул. Репина, 38",,"M, V, L",,53.66175,23.79252778
400827,"г. Гродно, Скидельское шоссе, 20",,"M, V, L",,53.661397222222,23.95468889
400828,"г. Гродно, ул. Буденного, 23",,"M, V, L",M,53.685216666667,23.84733056
400835,"г.п. Б. Берестовица, ул. Ленина, 10",,"M, V, L",,53.196083333333,24.01883333
400836,"г.п. Свислочь, ул. Дзержинского",,"M, V, L",,53.033088888889,24.09415
400837,"г. Волковыск, ул. С. Панковой, 58",,"M, V, L",M,53.167847222222,24.44661667
400839,"г. Волковыск, ул. Октябрьская, 133/21",,"M, V, L",,53.131146,24.416631
400840,"г. Лида, ул. Рыбиновского, 20",,"M, V, L","M, L",53.897222222222,25.27127778
400850,"г. Новогрудок, ул. Мицкевича, 3",,"M, V, L","M, L",53.595833333333,25.82361111
400854,"г. Новогрудок, ул.Волчецкого, 51А",,"M, V, L","M, L",53.594388888889,25.811
400861,"г. Лида, ул. Советская, 45",,"M, V, L","M, L",53.898847222222,25.29597222
400862,"г. Лида, ул. Замковая, 6",,"M, V, L","M, L",53.8875,25.30083333
400863,"г. Лида, ул. Первая Новопрудская, 42",,"M, V, L",,53.865394,25.319867
400866,"г. Мосты, ул. Советская, 55",,"M, V, L","M, L",53.417138888889,24.55375
400869,"г. Щучин, ул. Советская, 4",,"M, V, L",M,53.607016666667,24.74265278
400870,"г. Гродно, ул. Василька, 31",,"M, V, L","M, L",53.682368005643,23.83949914
400877,"г. Сморгонь, ул. Советская, 29",,"M, V, L","M, L",54.481455555556,26.39375556
400878,"г. Ошмяны, пер. Якуба Коласа, 20",,"M, V, L",M,54.428305555556,25.92722222
400879,"г. Гродно, ул. Белуша, 19",,"M, V, L",M,53.67175,23.84741667
400887,"г. Сморгонь, ул. Юбилейная, 31",,"M, V, L","M, L",54.476777777778,26.41326667
400890,"г.п. Вороново ул. Советская, 31",,"M, V, L",,54.151388888889,25.31944444
401118,"г. Островец, ул. Строителей, р-н д. 1",,"M, V, L","M, L",54.61525,25.97548889
401131,"г. Новогрудок, ул. Мицкевича",,"M, V, L",M,53.581980555556,25.79658056
401164,"г. Щучин, р-н ул. Рудого В.А., 3",,"M, V, L",M,53.593352777778,24.72501389
401219,"г. Гродно, ул. Гаспадарчая, 19",,"M, V, L",,53.710702777778,23.82599167
401221,"г. Лида, ул. Южный Городок, 6А",,"M, V, L",,53.874261111111,25.34322778
401226,"г. Гродно, ул. Врублевского, 5",,"M, V, L","M, L",53.701111111111,23.8086
401227,"г. Гродно, пр-т Космонавтов, 100/111",,"M, V, L",M,53.673063888889,23.8926
401230,"г. Гродно, ул. Болдина, 11",,"M, V, L","M, L",53.690988888889,23.79951389
401231,"г. Гродно, ул. Славинского, 4/31",,"M, V, L",,53.6364,23.82957778
401267,"г. Гродно, пересечение ул. Франтишка Богушевича и ул. Наполеона Орды",,"M, V, L",M,53.6152,23.809503
401446,"г. Слоним, ул. Черняховского, д. 9А",,"M, V, L",M,53.078889,25.329444
401454,"г. Гродно, ул. Красноармейская, д.3",,"M, V, L",,53.677224,23.842245
401493,"г. Мосты, пл. Ленина, 2",,"M, V, L",M,53.413186,24.542138
401495,"г. Гродно, ул. Доватора, 4",,"M, V, L","M, L",53.692821,23.828461
401496,"г. Сморгонь, ул. Победы, 14",,"M, V, L",,54.483583,26.380528
401497,"г. Сморгонь, пер. Больничный, 13",,"M, V, L",M,54.489053,26.404899
401604,"г. Лида, ул. Черняховского, 30",,"M, V, L",M,53.893733,25.287264
401614,"г. Волковыск, ул. Советская, 34",,"M, V, L",M,53.162981,24.470453
401646,"г. Лида, ул. Фурманова, 17",,"M, V, L",M,53.869972222222,25.294666666667
401660,"г. Гродно, ул. Брикеля, 7",,"M, V, L","M, L",53.699606,23.845518
401671,"г. Гродно, ул. Курчатова, 8",,"M, V, L","M, L",53.703212,23.812808
401675,"г. Волковыск, в р-не д. №14 по ул. Боричевского ",,"M, V, L",M,53.162524,24.440386
401682,"г. Гродно, ул. Поповича, 4а",,"M, V, L","M, L",53.673839,23.804944
401684,"г. Волковыск, ул. Калинина, 9",,"M, V, L","M, L",53.163539,24.450669
401686,"г. Лида, ул. Янки Купалы, 1",,"M, V, L","M, L",53.891625,25.307254
401689,"г. Лида, ул. Игнатова, 71",,"M, V, L",,53.906952,25.316836
401706,"г. Гродно, ул. Лиможа, 32Б",,"M, V, L","M, L",53.711147,23.848848
401834,"г. Гродно, ул. Дубко, 17",,"M, V, L",,53.701536111111,23.83511111
402018,"г. Гродно, ул. Южная, в районе д. 19а",,"M, V, L",M,53.638313888889,23.85879722
402071,"г. Гродно, пр-т Космонавттов, д. 81 ",,"M, V, L",M,53.672321,23.863062
402285,н.п. Валейкуны,,"M, V, L","M, L",54.752622222222,26.08751389
402737,"г. Слоним, ул. Фабричная, 1",,"M, V, L",,53.082416666667,25.39116667
402738,"г. Слоним, ул. Красноармейская, 73 Б",,"M, V, L",M,53.084338888889,25.32334444
402800,"г. Гродно, ул. Дзержинского, 135А",,"M, V, L",,53.710927051187,23.84445495
402801,"г. Гродно, ул. Пролетарская, 16",,"M, V, L","M, L",53.681305555556,23.85452778
402802,"г. Гродно, ул. Пестрака, 36",,"M, V, L","M, L",53.654166666667,23.83561111
402803,"г. Гродно, ул. Купалы, 18",,"M, V, L",M,53.660805555556,23.83502778
402804,"г. Гродно, ул. Терешковой, 50а",,"M, V, L",,53.697125,23.85209722
402806,"г. Гродно, ул. Купалы, 89",,"M, V, L","M, L",53.648833457806,23.85749986
402808,"г. Гродно, ул. Врублевского, 33",,"M, V, L","M, L",53.704202777778,23.80752778
402809,"г. Гродно, ул. Замковая, 4",,"M, V, L",M,53.677366666667,23.82762778
402810,"г. Гродно, микрорайон Фолюш, 15/12",,"M, V, L","M, L",53.664472222222,23.77575
402811,"г. Гродно, пер. Доватора, 3-1",,"M, V, L","M, L",53.695277777778,23.82644444
402812,"г. Гродно, пр-т Румлевский, 10/1",,"M, V, L",M,53.666183333333,23.859675
402813,"г. Гродно, ул. Дзержинского, 35-1",,"M, V, L","M, L",53.697319444444,23.841075
402814,"г. Гродно, ул. Гагарина, 18/1",,"M, V, L",,53.672111111111,23.81524444
402815,"г. Гродно, ул. Гарбарская, д. 4",,"M, V, L",,53.686361206641,23.82461102711
402817,"г. Гродно, ул.Захарова, 32",,"M, V, L",M,53.678702777778,23.84695
402818,"г. Гродно, ул. Дзержинского, 2-1",,"M, V, L",M,53.685602777778,23.83474167
402819,"г. Гродно, ул. Поповича, 50",,"M, V, L","M, L",53.666388888889,23.80591667
402820,"г. Гродно, ул. Сухомбаева, 17",,"M, V, L","M, L",53.694861111111,23.81272222
402821,"г. Гродно, ул. М.Горького, 91",,"M, V, L",M,53.70933334,23.81652786
402823,"г. Гродно, ул. Пучкова, 47",,"M, V, L",M,53.652888888889,23.80508333
402824,"г. Гродно, ул. Фестивальная, д. 14",,"M, V, L",,53.687277790128,23.799250066064
402848,"г. Дятлово, ул. Энергитическая, 7",,"M, V, L",,53.46644445258,25.385610958663
402850,"г. Ивье пл. Комсомольская, 2",,"M, V, L",,53.931311111111,25.76931111
402859,"г. Гродно, Индурское шоссе, 30",,"M, V, L",M,53.623611111111,23.86441667
402860,"г.п. Зельва, пер. Больничный, 5",,"M, V, L",M,53.148222222222,24.82458333
402862,"г. Лида, ул. Кирова, 19",,"M, V, L","M, L",53.893,25.29488889
402863,"г. Лида,  ул. Мицкевича, 38-3",,"M, V, L",M,53.898475,25.31304722
402864,"г. Гродно, пер. Южный, 12А",,"M, V, L","M, L",53.644138960819,23.86347223
402871,"г. Островец, ул. К. Маркса, 1",,"M, V, L",M,54.616561111111,25.95884167
402872,"г. Волковыск, ул. Ленина, 15",,"M, V, L",M,53.161438888889,24.46041111
402873,"г. Волковыск, ул. Красноармейская, 23",,"M, V, L",,53.155891666667,24.43321667
402877,"г. Сморгонь, пр-т Индустриальный, 7/5",,"M, V, L",,54.508777777778,26.36822222
402892,"г. Гродно, ул. Горького, 72а",,"M, V, L","M, L",53.696527777778,23.81966667
402895,"г. Гродно, пл. Сов. Пограничников, 1",,"M, V, L",M,53.668472222222,23.82913889
404029,"г. Гродно, ул. Комарова, д.8",,"M, V, L","M, L",53.708333333333,23.812116666667
404030,"г. Гродно, ул. Титова, 30",,"M, V, L",,53.667216666667,23.81671944
404035,"г. Гродно, ул. Химиков, 9",,"M, V, L","M, L",53.641333333333,23.86079167
404062,"г. Гродно, м-н. Фолюш, 15/201б",,"M, V, L",,53.66335,23.77825
404074,"г. Гродно, ул. Пушкина, 41",,"M, V, L",M,53.697805555556,23.82727778
404093,"г. Гродно, ул. Соломовой, 131",,"M, V, L",M,53.660416666667,23.78155556
404117,"г. Гродно, ул. Индустриальная, 2а",,"M, V, L",M,53.661347222222,23.803130555556
404185,"г. Гродно, перес. ул. Тавлая - ул.Малыщинская",,"M, V, L",M,53.71176,23.85857
404322,"г. Гродно, ул. Островского, 17",,"M, V, L",M,53.690194444444,23.83372222
404364,"г. Гродно, ул. Дзержинского, д. 108",,"M, V, L",M,53.71203,23.83812
404374,"г. Гродно, ул. Центральная - ул. Юрия Олеши",,"M, V, L",M,53.615119444444,23.83106667
404375,"г. Гродно, ул. Н.Орды, 14",,"M, V, L","M, L",53.622097222222,23.81079167
404378,"г. Гродно, ул. Кленовая, 35",,"M, V, L",M,53.677838888889,23.85875
404379,"г. Гродно, ул. Франтишка Богушевича, 52",,"M, V, L",M,53.618980555556,23.79963889
404384,"г. Гродно, ул. 1 Мая, 7",,"M, V, L",M,53.6873,23.84136111
404396,"г. Гродно, ул. Фомичева, д. 2",,"M, V, L",M,53.65778,23.84268
404398,"г. Гродно, ул. Подгорная",,"M, V, L",,53.673305555556,23.83130556
404496,"г. Гродно, ул. Томина, 14а",,"M, V, L","M, L",53.651069444444,23.82875
404801,"г. Гродно, ул. Социалистическая, 33а",,"M, V, L",,53.678433333333,23.83375556
404805,"г. Гродно, ул. Полиграфистов, 4",,"M, V, L",,53.67344442,23.83911114
404807,"г. Гродно, ул. Фомичева, 18",,"M, V, L",M,53.661333333,23.843888889
404809,"г. Гродно, ул. О. Соломовой, 77А",,"M, V, L",M,53.669305555556,23.79
404811,"г. Гродно, пер. Дзержинского, д. 17",,"M, V, L",M,53.703555539048,23.828416512394
404813,"г. Гродно, ул. Брикеля, 8",,"M, V, L","M, L",53.701627777778,23.8448
404814,"г. Гродно, ул.Индурское шоссе, д. 11",,"M, V, L",M,53.637694486827,23.840055722675
404815,"г. Гродно, ул. Коммунальная, 32",,"M, V, L",,53.688833333,23.81425
404818,"г. Гродно, ул. Гданьская, 14",,"M, V, L",M,53.663520939777,23.81649407836
404821,"г. Гродно, ул. Гагарина, 41",,"M, V, L",M,53.672666666667,23.80836111
404822,"г. Гродно, пр. Я.Купалы, 74а",,"M, V, L",M,53.657280555556,23.84836111
404826,"г. Новогрудок, ул. Мицкевича, 49",,"M, V, L",,53.586138888889,25.81283333
404832,"г. Слоним, ул. Маяковского, 5",,"M, V, L",,53.096416666667,25.32041667
404862,"г. Лида, ул. Летная, 4",,"M, V, L",,53.879063888889,25.32942222
404863,"г. Мосты, ул. Занеманская, 17",,"M, V, L",,53.409513888889,24.52612222
404864,"г. Лида, бульвар князя Гедимина, 3",,"M, V, L","M, L",53.884861111111,25.29594444
404867,"г. Мосты, ул. 30 лет ВЛКСМ, 165",,"M, V, L",,53.426305555556,24.53777778
404869,"г. Щучин, ул. Мичурина, 22",,"M, V, L",M,53.602597222222,24.72976944
404878,"г. Ошмяны ул. Советская, 19/1",,"M, V, L",M,54.429888888889,25.95519444
404885,"г. Щучин, ул. Тимирязева, 3",,"M, V, L",M,53.5942,24.7471
404890,"г. Лида, ул. Красноармейская, 106",,"M, V, L",M,53.892861111111,25.25625
404891,"г. Гродно, ул. Домбровского, 47",,"M, V, L",M,53.705472222222,23.79752778
404899,"г. Гродно, ул. Л.Чайкиной, 26",,"M, V, L",M,53.662916666667,23.78611111
404963,"г. Гродно, ул. Огинского, 16",,"M, V, L","M, L",53.617866666667,23.81558333
405013,"г. Гродно, ул. Малыщинская",,"M, V, L","M, L",53.710288888889,23.86628056
405014,"г. Гродно, ул. Кабяка, 10Б",,"M, V, L","M, L",53.64525,23.84838889
405018,"г. Гродно, ул. Куйбышева, 1/1",,"M, V, L",M,53.686438888889,23.86021111
405034,"г. Гродно, ул. Коммунальная, 3",,"M, V, L",,53.68977,23.82004
405055,"г. Гродно, ул. Дзержинского, 54",,"M, V, L",M,53.694019444444,23.83771111
405060,"г. Гродно, ул.  Огинского, 37",,"M, V, L","M, L",53.62115,23.80686111
405061,"г. Гродно, пр. Клецкова, 68а",,"M, V, L",M,53.651,23.84655556
405062,"г. Гродно, ул. Гая, 11",,"M, V, L",M,53.662911111111,23.83951944
405068,"г. Гродно, ул. Лидская, 15",,"M, V, L",M,53.674488888889,23.85206111
405085,"г. Гродно, ул. Терешковой, 28",,"M, V, L","M, L",53.695211111111,23.84838056
405086,"г. Гродно, ул. Л. Чайкиной, 35",,"M, V, L","M, L",53.664586111111,23.79345556
405090,"г. Гродно, ул. Соломовой, 153",,"M, V, L","M, L",53.659333333333,23.77502778
405099,"г. Гродно, ул. Герасимовича, 1",,"M, V, L",,53.676108333333,23.81202222
405123,"г. Гродно, м-н Барановичи",,"M, V, L",M,53.6755,23.7285
405314,"г. Гродно, мк-н Вишневец",,"M, V, L","M, L",53.639472264846,23.85038874
405320,"г. Гродно, ул. Пушкина, 31а",,"M, V, L","M, L",53.696583333333,23.83430556
405321,"г. Гродно, Скидельское шоссе, 18",,"M, V, L",,53.669805555556,23.91511111
405328,"г. Гродно, ул. Пролетарская, 50",,"M, V, L",M,53.685611105944,23.853722389318
405329,"г. Гродно, ул. Лидская, 15",,"M, V, L",M,53.66925,23.85363889
405334,"г. Островец, пер. Октябрьский, 11",,"M, V, L","M, L",54.610483333333,25.96708611
405342,"г. Лида, ул. Кооперативная, 16",,"M, V, L","M, L",53.900027777778,25.25580556
405345,"Коптевский с/с, 9 ",,"M, V, L",,53.633055555556,23.87302778
405351,"г. Лида, м-н Индустриальный",,"M, V, L",M,53.936636111111,25.27023333
405353,"г. Слоним, ул. Каштановая",,"M, V, L",M,53.059417003,25.33077796
405380,"г. Гродно, б-р Ленинского Комсомола, 13",,"M, V, L",,53.699447216326,23.81386677
405438,"г. Гродно, ул. Кремко, 17",,"M, V, L","M, L",53.639963888889,23.86772222
405441,"г. Гродно, ул. Центральная, 10/1",,"M, V, L",,53.626472222222,23.85563889
405442,"г. Гродно, ул. Александровича, 15",,"M, V, L",M,53.628605555556,23.84852222
405496,"г. Волковыск, ул. Калиновского, 6А",,"M, V, L",,53.171438888889,24.43623889
405736,"г. Слоним, ул. Ф.Скорины, 103/7",,"M, V, L","M, L",53.0809,25.29572778
405801,"г. Гродно, ул. Ленинского комсомола, 5",,"M, V, L","M, L",53.700802777778,23.81572778
405802,"г. Гродно, пр. Клецкова, 12а",,"M, V, L",M,53.649861004145,23.83847203
405804,"г. Гродно, ул. М. Горького, 121",,"M, V, L",M,53.71597701,23.8135849
405805,"г. Гродно, ул. Советских пограничников, 115",,"M, V, L","M, L",53.673577777778,23.79750833
405806,"г. Гродно, ул. Славинского, 13",,"M, V, L","M, L",53.647111067682,23.82549982
405807,"г. Гродно, бул. Ленинского Комсомола, 44",,"M, V, L","M, L",53.69661098316,23.80522217
405808,"г. Гродно, ул. Ольги Соломовой, 120а",,"M, V, L","M, L",53.655638888889,23.78144444
405811,"г. Гродно, ул. Лиможа, 44",,"M, V, L","M, L",53.713472222222,23.84716667
405812,"г. Гродно, ул. Славинского, 2",,"M, V, L",M,53.643802777778,23.83836667
405813,"г. Гродно, м-н Погораны-Кошевники",,"M, V, L",,53.633861111111,23.90313889
405814,"г. Гродно, ул. Домбровского, 23а",,"M, V, L",M,53.702361111111,23.79913889
405815,"г. Гродно, ул. Гинтовта, м-н Зарица",,"M, V, L",M,53.7539,23.83872778
405818,"г. Гродно, ул. Лиможа, 30",,"M, V, L","M, L",53.708405555556,23.84785833
405821,"г. Слоним, ул. Минский тракт, 4",,"M, V, L",,53.093194444444,25.35075
405824,"г. Гродно, ул. Школьная, 16",,"M, V, L",,53.621813888889,23.84118056
405825,"г. Новогрудок, ул. Минская, 66",,"M, V, L",,53.598222222222,25.84047222
405829,"г. Слоним, ул. Ершова, 52",,"M, V, L","M, L",53.081805555556,25.30816667
405833,"г. Волковыск, ул. Октябрьская, 55",,"M, V, L",,53.142555555556,24.42480556
405838,"г.п. Свислочь ул. Красноармейская, 23",,"M, V, L",,53.035694444444,24.10369444
405839,"г. Волковыск, ул. Жолудева, 24",,"M, V, L",M,53.157241666667,24.45138889
405840,"г. Лида, ул. 2-я Круповская, 1",,"M, V, L",,53.914194444444,25.24111111
405862,"г. Дятлово ул. Советская, 3",,"M, V, L",,53.466416666667,25.40522222
405872,"г. Волковыск, ул. Боричевского, 9а/3",,"M, V, L",M,53.165883333333,24.43320278
405873,"г. Лида,ул. Куйбышева, 23а",,"M, V, L",,53.891277777778,25.27783333
405874,"г. Лида, ул. Машерова, 10",,"M, V, L","M, L",53.872277777778,25.28141667
405877,"г. Сморгонь, ул. Петра Балыша, 4а",,"M, V, L",,54.480194444444,26.40197222
405887,"г. Сморгонь, ул. Юбилейная, 51а",,"M, V, L",,54.476527777778,26.41963889
405888,"г. Волковыск, ул. Советская, 64",,"M, V, L",M,53.162944444444,24.47955556
405896,"г. Лида, ул. Тухачевского, 81а",,"M, V, L",,53.896447959614,25.259783052957
405953,"г. Лида, ул. Коммунистическая",,"M, V, L",M,53.877944444444,25.27258333
405985,"г. Ошмяны, ул. Советская, 109",,"M, V, L",,54.425000027,25.939305708
411069,"г. Лида, ул. Рыбиновского, 24",,"M, V, L",,53.896913889,25.267769444
411149,"г. Сморгонь, ул. Гагарина, 64",,"V, L",,54.473871495,26.395686379
411153,"г. Сморгонь, ул. Молодежная, 1а",,"M, V, L",,54.469074389,26.412529365
412835,"г. Слоним, ул. Загородная",,"M, V, L",,53.091741401,25.339904584
412849,"г. Лида, ул. Мопровская, 4",,"M, V, L",,53.88103868,25.298367497
412923,"г. Новогрудок, ул. Мицкевича, 15",,"M, V, L",,53.592469444,25.820877778
413349,"г. Лида, ул. Невского, У-1182",,"M, V, L",,53.888111111,25.269388889
413368,"г. Ошмяны, ул. Пушкина, 4",,"V, L",,54.418944444,25.924277778
413369,"г. Ошмяны, ул. Борунская, 35",,"V, L",,54.425191667,25.960947222
413426,"г. Сморгонь, ул. Тракторная, 72",,"V, L",,54.487027257,26.372414575
413524,"г. Лида, ул. Жукова, У-688",,"M, V, L",,53.939166667,25.251944444
413606,"г. Лида, ул. Качана, У-661",,"M, V, L",,53.893861111,25.326194444
414305,"г. Новогрудок, ул. Яцука",,"M, V, L",,53.587305556,25.833083333
414469,"г. Слоним, ул. Пушкина",,"V, L",,53.101211818,25.301927128
415466,"г. Островец, ул. Березовая, 4",,"V, L",,54.617926416,25.982157326
416179,"г. Лида, пересечение ул. Радужная-Встречная",,"M, V, L",,53.93625,25.288194444
600404,"г. Кличев, ул. Красноармейская, 19",,"M, V, L",M,53.487888888889,29.33702778
600451,"г. Бобруйск, ул. Минская, 21",,"M, V, L",M,53.148194461231,29.22988892
600452,"г. Бобруйск, ул. Чонгарская, 37",,"M, V, L",M,53.1313,29.22963889
600453,"г. Бобруйск, ул. Бахарова, 225",,"M, V, L",,53.126219970406,29.20013499
600454,"г. Бобруйск, ул. Гоголя, 177",,"M, V, L","M, L",53.149722222222,29.18802778
600455,"г. Бобруйск, ул. 50 лет ВЛКСМ, 26",,"M, V, L","M, L",53.168166639597,29.1913887
600456,"г. Бобруйск, ул. Энергетиков, 9",,"M, V, L",M,53.18975,29.2035
600457,"г. Бобруйск, ул. Пролетарская, 37",,"M, V, L","M, L",53.143611111111,29.21444444
600458,"г.п. Глуск, ул. Комсомольская, 6",,"M, V, L",,52.900805555556,28.68816667
600460,"г. Кировск, ул. Кирова, 80а",,"M, V, L",,53.272388888889,29.46783333
600600,"г. Могилёв, ул. Первомайская, 29-8",,"M, V, L",,53.900789065361,30.33577582
600612,"г. Круглое, ул. Советская, 81",,"M, V, L",M,54.256202777778,29.79441667
600628,"г.п. Дрибин, ул. Ленина, 39",,"M, V, L",,54.118166666667,31.09044444
600647,"г. Горки, пр-т Интернациональный, 7а",,"M, V, L","M, L",54.300544444444,30.98341667
600650,"г. Могилёв, б-р Юбилейный, 21",,"M, V, L","M, L",53.903985,30.357223
600651,"г. Могилёв, ул. Пионерская, 27",,"M, V, L","M, L",53.900805555556,30.34243611
600652,"г. Могилёв, пр-т Шмидта, 3, к. 2",,"M, V, L","M, L",53.874222222222,30.317
600653,"г. Могилёв, ул. 30 лет Победы, 18",,"M, V, L","M, L",53.932555555556,30.36166667
600654,"г. Могилёв, пр-т Пушкинский, 6",,"M, V, L","M, L",53.88325,30.33586111
600655,"г. Могилев, ул. Авиаторов, 17",,"M, V, L","M, L",53.933991667,30.267833333
600656,"г. Могилев, ул. Чайковского, 8",,"M, V, L","M, L",53.87730554572,30.333722469936
600657,"г. Могилёв, ул. Космонавтов, 13",,"M, V, L","M, L",53.910583333333,30.31383333
600658,"г. Могилёв, Гомельское шоссе, 1",,"M, V, L",M,53.863208333333,30.35739167
600659,"г. Могилёв, ул. Белинского, 9",,"M, V, L","M, L",53.930377777778,30.34762222
600660,"г. Могилёв, ул. К.Симонова, 51",,"M, V, L","M, L",53.864388888889,30.31027778
600661,"г. Могилёв, ул. Королёва, 8",,"M, V, L","M, L",53.906591666667,30.36602778
600662,"г. Могилёв, ул. Первомайская, 71",,"M, V, L","M, L",53.90983194516,30.34345106
600663,"г. Могилёв, ул. Челюскинцев, 84",,"M, V, L","M, L",53.8905,30.28744444
600667,"г. Могилёв, ул. Крупской, 176",,"M, V, L","M, L",53.949535017307,30.356253009413
600668,"г. Могилёв, пр-т Мира, 6",,"M, V, L","M, L",53.910059024594,30.33312408
600669,"г. Могилёв, ул. Мовчанского, 53",,"M, V, L","M, L",53.878122222222,30.37420556
600670,"г. Могилёв, ул. Калужская, 44",,"M, V, L",M,53.916977777778,30.368775
600671,"г. Чаусы, ул. Первомайская, 36",,"M, V, L",,53.811111111111,30.96013889
600672,"г. Могилёв, ул. Первомайская, 152",,"M, V, L","M, L",53.938102777778,30.33227222
600673,"г. Кричев, ул. Московская, 48",,"M, V, L","M, L",53.704194444444,31.69511111
600675,"г. Климовичи, ул. Ленина, 12",,"M, V, L",M,53.621611111111,31.94016667
600677,"г. Мстиславль, ул. Калинина, 21",,"M, V, L",M,54.02,31.72621944
600679,"г. Костюковичи, ул. Юношеская, 111",,"M, V, L","M, L",53.355888888889,32.04088889
600684,"г. Могилев, ул. Н. Карабановская, 90",,"M, V, L",M,53.92721094,30.31687012
600686,"г. Могилёв, пр-т Димитрова, 35",,"M, V, L",M,53.871266666667,30.37296944
600687,"г. Могилёв, ул. Гришина, 102",,"M, V, L","M, L",53.905094444444,30.38058889
600688,"г. Могилёв, ул. Плеханова, 27",,"M, V, L","M, L",53.899436111111,30.32235833
600691,"г. Быхов, ул. Максима Богдановича, 1",,"M, V, L",,53.530666666667,30.22816667
600698,"г. Кричев, ул. Артиллерийская, 7",,"M, V, L",M,53.740388888889,31.70513889
601149,"г. Могилёв, ул. Крупской, 232",,"M, V, L",M,53.967194444444,30.34579167
601283,"г. Могилёв, б-р Непокоренных, 75",,"M, V, L","M, L",53.867302777778,30.33786111
601313,"г. Шклов, ул. Малая Заречная",,"M, V, L",,54.19696,30.315425
601408,"г. Кричев, ул. Тимирязева, д.1",,"M, V, L",,53.737735,31.689738
601448,"г. Костюковичи, ул. Зиньковича, д. 98",,"M, V, L",M,53.359938,32.053826
601484,"г. Могилёв, ул. К. Маркса, д. 23",,"M, V, L","M, L",53.899018,30.344039
601635,"г. Могилев, пр-т Витебский, д. 52",,"M, V, L",M,53.885286,30.415147
601659,"г. Кричев, ул. Ленинская",,"M, V, L",,53.689563,31.712913
601662,"г. Горки, в районе ул. Строителей",,"M, V, L","M, L",54.295825,30.976444
601679,"г. Костюковичи, Белорусский цементный завод",,"M, V, L",,53.393527825813,32.014083812536
601703,участок №4 СЭЗ «Могилев»,,"M, V, L",,53.829083333333,30.35198333
602407,"г. Осиповичи, ул. Интернациональная, 5",,"M, V, L",M,53.300583333333,28.64427778
602408,"г. Осиповичи, ул. Дмитриева, 6",,"M, V, L",M,53.308388888889,28.63477778
602436,"г. Бобруйск, ул. Энергетиков, 26а",,"M, V, L",,53.201374051547,29.20260816617
602451,"г. Бобруйск, ул. 50 лет ВЛКСМ, 61",,"M, V, L","M, L",53.161611057457,29.17441687
602452,"г. Бобруйск, пл.Ленина, 1",,"M, V, L",M,53.146388936,29.223056149
602455,"г. Бобруйск, ул. К. Маркса, 337",,"M, V, L",,53.135278981,29.175968841
602456,"г. Бобруйск, бул. Приберезинский, 21",,"M, V, L",,53.192880021,29.227618036
602457,"г. Бобруйск, ул. Социалистическая, 84",,"M, V, L",M,53.138583333333,29.22788889
602458,"г. Бобруйск, ул. Парковая, 57",,"M, V, L",M,53.122888893642,29.23413878
602459,"г. Бобруйск, ул. Минская, 130",,"M, V, L",M,53.173286111111,29.20551667
